State,District,Date,Year,Month,Avg_rainfall,Agency_name
Telangana,Kumuram Bheem Asifabad,2025-03-06,2025,03,0.0,NRSC VIC MODEL
Telangana,Kumuram Bheem Asifabad,2025-03-16,2025,03,0.0001052279,NRSC VIC MODEL
Telangana,Hyderabad,2025-03-19,2025,03,0.0,NRSC VIC MODEL
Telangana,Hyderabad,2025-03-20,2025,03,0.0,NRSC VIC MODEL
Telangana,Hyderabad,2025-03-31,2025,03,0.0009236458,NRSC VIC MODEL
Telangana,Hyderabad,2025-04-14,2025,04,2.7165e-06,NRSC VIC MODEL
Telangana,Hyderabad,2025-04-16,2025,04,0.8739902484,NRSC VIC MODEL
Telangana,Hyderabad,2025-05-01,2025,05,0.0399390634,NRSC VIC MODEL
Telangana,Hyderabad,2025-05-02,2025,05,0.3385667067,NRSC VIC MODEL
Telangana,Hyderabad,2025-06-02,2025,06,2.0876932705,NRSC VIC MODEL
Telangana,Hyderabad,2025-06-15,2025,06,0.0005165588,NRSC VIC MODEL
Telangana,Hyderabad,2025-06-17,2025,06,0.2395723706,NRSC VIC MODEL
Telangana,Hyderabad,2025-06-18,2025,06,9.18135e-05,NRSC VIC MODEL
Telangana,Hyderabad,2025-06-23,2025,06,0.0040890059,NRSC VIC MODEL
Telangana,Hyderabad,2025-06-30,2025,06,0.7823986256,NRSC VIC MODEL
Telangana,Jagitial,2025-01-02,2025,01,0.0003764207,NRSC VIC MODEL
Telangana,Jagitial,2025-01-03,2025,01,0.0,NRSC VIC MODEL
Telangana,Jagitial,2025-01-08,2025,01,0.0005246947,NRSC VIC MODEL
Telangana,Jagitial,2025-01-12,2025,01,0.0,NRSC VIC MODEL
Telangana,Jagitial,2025-01-18,2025,01,0.0003093146,NRSC VIC MODEL
Telangana,Jagitial,2025-01-23,2025,01,0.0057443774,NRSC VIC MODEL
Telangana,Jagitial,2025-01-25,2025,01,0.0006186293,NRSC VIC MODEL
